685 158
848 -46
480 249
872 481
508 537
706 357
1062 -149
893 -142
950 67
1045 -276
702 -208
675 24
896 272
789 550
1062 10
902 80
907 289
427 295
590 240
933 276
611 488
447 363
652 260
728 378
383 454
406 521
870 107
656 102
952 317
583 236
210 559
899 593
10 583
502 317
79 490
143 502
142 505
383 733
374 690
322 585
339 548
208 726
390 615
482 689
320 508
489 653
830 677
438 532
576 724
493 795
645 691
678 571
673 179
823 428
776 308
878 206
678 498
833 796
265 785
426 563
502 664
737 795
934 691
695 717
744 625
777 674
694 726
620 618
742 743
995 851
959 866
858 657
928 768
789 756
708 688
1024 807
1131 764
1102 798
1202 546
927 579
1043 709
969 695
1132 495
893 594
1055 658
1203 446
1097 723
584 468
680 267
1068 787
1106 802
1161 712
1137 716
1263 600
1053 519
859 490
1047 601
960 723
1285 688
856 895
894 930
886 429
695 381
1231 499
884 289
718 214
779 268
586 287
440 305
917 420
992 501
858 387
817 309
870 372
587 606
820 469
